Input Term,Best Match,URI,Similarity Score
GO_0042597 periplasmic space,perianal space,http://purl.obolibrary.org/obo/UBERON_8480010,0.6272
gonad,gonad,http://purl.obolibrary.org/obo/UBERON_0000991,1
gonads,gonad,http://purl.obolibrary.org/obo/UBERON_0000991,0.928
gonads (testes,gonad,http://purl.obolibrary.org/obo/UBERON_0000991,0.7617
gonoduct of mollusc,mollusc food product,http://purl.obolibrary.org/obo/FOODON_00002044,0.6561
granuloma-pyloric stomach,pyloric stomach,http://purl.obolibrary.org/obo/UBERON_0008246,0.7729
greater omentum,greater omentum,http://purl.obolibrary.org/obo/UBERON_0005448,1
green gland,gland,http://purl.obolibrary.org/obo/UBERON_0002530,0.7423
groin,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,0.5924
groin tumor,"neoplastic, malignant",http://purl.obolibrary.org/obo/PATO_0002097,0.5679
groove rt pectoral fin,pectoral fin,http://purl.obolibrary.org/obo/UBERON_0000151,0.7867
gular rays,gular plate,http://purl.obolibrary.org/obo/UBERON_2002089,0.6039
gular region,gular region,http://purl.obolibrary.org/obo/UBERON_0011154,1
gullet (angle of jaw),jaw muscle,http://purl.obolibrary.org/obo/UBERON_0011648,0.5606
gullet (angle of jaws),sleet pellet,http://purl.obolibrary.org/obo/ENVO_03400015,0.5272
gullet,sleet pellet,http://purl.obolibrary.org/obo/ENVO_03400015,0.7198
gut-body cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.8416
gut cysts,gut-associated lymphoid tissue,http://purl.obolibrary.org/obo/UBERON_0001962,0.6161
gut (encapsulated),post-anal gut,http://purl.obolibrary.org/obo/UBERON_3010437,0.645
gut: esophagus to rectum,esophagus,http://purl.obolibrary.org/obo/UBERON_0001043,0.7413
gut,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,matched
gut wall (encysted),gut wall,http://purl.obolibrary.org/obo/UBERON_0000328,0.8695
gut wall,gut wall,http://purl.obolibrary.org/obo/UBERON_0000328,1
gut washings,presumptive gut,http://purl.obolibrary.org/obo/UBERON_0007026,0.6241
gut- washings,presumptive gut,http://purl.obolibrary.org/obo/UBERON_0007026,0.6428
gut wash,presumptive gut,http://purl.obolibrary.org/obo/UBERON_0007026,0.6535
haemocoel,habenula,http://purl.obolibrary.org/obo/UBERON_0001904,0.6419
hair,tail hair,http://purl.obolibrary.org/obo/UBERON_0015148,0.7686
ham,barn,http://purl.obolibrary.org/obo/ENVO_03501257,0.4826
HAO_0000286 egg,egg cylinder,http://purl.obolibrary.org/obo/UBERON_0004013,0.5615
HAO_0000604 propodeum,proctodeum,http://purl.obolibrary.org/obo/UBERON_0000931,0.5332
head and thorax,skin of thorax,http://purl.obolibrary.org/obo/UBERON_0001418,0.6795
head cysts,lymph node of head,http://purl.obolibrary.org/obo/UBERON_0015870,0.571
head (encysted),head,http://purl.obolibrary.org/obo/UBERON_0000033,0.7093
head flesh,skin of head,http://purl.obolibrary.org/obo/UBERON_0001084,0.7788
head,head,http://purl.obolibrary.org/obo/UBERON_0000033,1
head in artery,head blood vessel,http://purl.obolibrary.org/obo/UBERON_0003496,0.7725
head kidney,head kidney,http://purl.obolibrary.org/obo/UBERON_0007132,1
head region,nerve of head region,http://purl.obolibrary.org/obo/UBERON_0011779,0.7219
heart - aortic bulb,bulb of aorta,http://purl.obolibrary.org/obo/UBERON_0010172,matched
heart (atrial wall),cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002081,0.7225
heart blood,blood,http://purl.obolibrary.org/obo/UBERON_0000178,0.7452
heart cavities,cavity of cardiac chamber,http://purl.obolibrary.org/obo/UBERON_0035763,0.7247
heart cavity,cavity of cardiac chamber,http://purl.obolibrary.org/obo/UBERON_0035763,0.8264
heart chambers,cardiac chamber,http://purl.obolibrary.org/obo/UBERON_0004151,0.8819
heart cyst,remnant of cardiac valve,http://purl.obolibrary.org/obo/UBERON_0034764,0.6145
heart (cysts),remnant of cardiac valve,http://purl.obolibrary.org/obo/UBERON_0034764,0.6256
heart cysts,remnant of cardiac valve,http://purl.obolibrary.org/obo/UBERON_0034764,0.6265
heart (encysted),heart,http://purl.obolibrary.org/obo/UBERON_0000948,0.6778
heart,heart,http://purl.obolibrary.org/obo/UBERON_0000948,matched
heart (inter trabeculr spaces),fibrous ring of heart,http://purl.obolibrary.org/obo/UBERON_0006008,0.5667
heart lumen,heart,http://purl.obolibrary.org/obo/UBERON_0000948,0.6516
heart muscle,chest muscle,http://purl.obolibrary.org/obo/UBERON_0002426,matched
heart (rt ventrical,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,0.6693
heart rt ventricle,cardiac ventricle,http://purl.obolibrary.org/obo/UBERON_0002082,0.8034
heart- rt ventricle,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,0.8058
heart(rt ventricle) pulmonary,pulmonary myocardium,http://purl.obolibrary.org/obo/UBERON_0004162,0.7706
heart- ventricle,cardiac ventricle,http://purl.obolibrary.org/obo/UBERON_0002082,0.9513
heart ventricle,cardiac ventricle,http://purl.obolibrary.org/obo/UBERON_0002082,0.975
heart (ventricular lumen),cardiac ventricle,http://purl.obolibrary.org/obo/UBERON_0002082,0.6759
hemocoel,hemorrhagic,http://purl.obolibrary.org/obo/PATO_0002105,0.617
hemocoel of larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.6747
hemocoel of larval stage,larval stage,http://purl.obolibrary.org/obo/UBERON_0000069,0.629
hemocoel under kidney,hilum of kidney,http://purl.obolibrary.org/obo/UBERON_0008716,0.5557
hen egg,egg yolk,http://purl.obolibrary.org/obo/UBERON_0007378,0.7368
hen's egg,obsolete hen's egg product,http://purl.obolibrary.org/obo/ENVO_02000057,0.7478
hepatic and mesenteric veins,hepatic vein,http://purl.obolibrary.org/obo/UBERON_0001143,0.8407
hepatic arteries,hepatic artery,http://purl.obolibrary.org/obo/UBERON_0001193,0.9489
hepatic ceca,hepatic cecum,http://purl.obolibrary.org/obo/UBERON_0012474,0.7843
hepatic cyst,hepatic lymph node,http://purl.obolibrary.org/obo/UBERON_0015859,0.6336
hepatic duct,hepatic duct,http://purl.obolibrary.org/obo/UBERON_0005171,1
hepatic ligament,ligament of liver,http://purl.obolibrary.org/obo/UBERON_0013139,0.8711
hepatic lymph nodes,hepatic lymph node,http://purl.obolibrary.org/obo/UBERON_0015859,0.9767
hepatico-duodenal junction,choledocho-duodenal junction,http://purl.obolibrary.org/obo/UBERON_0015485,0.7825
hepatic vessel,liver blood vessel,http://purl.obolibrary.org/obo/UBERON_0015796,0.828
hepatic vessels,liver blood vessel,http://purl.obolibrary.org/obo/UBERON_0015796,0.7896
hepatopancreas,hepatopancreas,http://purl.obolibrary.org/obo/UBERON_0010264,1
hepato-pancreatic duct,pancreatic duct,http://purl.obolibrary.org/obo/UBERON_0007329,0.864
hernial sac,peritoneal sac,http://purl.obolibrary.org/obo/UBERON_0035820,0.6974
hides,hide,http://purl.obolibrary.org/obo/ENVO_02000053,0.8925
hígado,hilum,http://purl.obolibrary.org/obo/UBERON_0004885,0.6534
hilus of kidney,hilum of kidney,http://purl.obolibrary.org/obo/UBERON_0008716,0.8095
hindbrain,hindbrain,http://purl.obolibrary.org/obo/UBERON_0002028,1
hind foot,tube foot,http://purl.obolibrary.org/obo/UBERON_0008247,0.6481
hind gut,hindgut,http://purl.obolibrary.org/obo/UBERON_0001046,0.7409
hindgut,hindgut,http://purl.obolibrary.org/obo/UBERON_0001046,matched
hind leg joint,hindlimb joint,http://purl.obolibrary.org/obo/UBERON_0003840,0.8132
hind leg,leg,http://purl.obolibrary.org/obo/UBERON_0000978,0.7921
hind legs,leg,http://purl.obolibrary.org/obo/UBERON_0000978,0.7361
hind quarter- near knee,knee joint,http://purl.obolibrary.org/obo/UBERON_0001485,0.6246
hip,hip,http://purl.obolibrary.org/obo/UBERON_0001464,1
h.kidney,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.8255
-,h minus,http://purl.obolibrary.org/obo/PATO_0001345,0.4417
hock,tusk,http://purl.obolibrary.org/obo/UBERON_0010879,0.5514
+,h plus,http://purl.obolibrary.org/obo/PATO_0001346,0.5774
http:,site,http://purl.obolibrary.org/obo/BFO_0000029,0.4672
huevo,hilum,http://purl.obolibrary.org/obo/UBERON_0004885,0.511
hypaxial muscles,hypaxial musculature,http://purl.obolibrary.org/obo/UBERON_0008777,0.8265
hypodermus,hypodermis,http://purl.obolibrary.org/obo/UBERON_0002072,0.8592
ileo-caecal junction,ileocecal junction,http://purl.obolibrary.org/obo/UBERON_0001073,0.925
ileocecal junction,ileocecal junction,http://purl.obolibrary.org/obo/UBERON_0001073,1
ileo-cecal region intestine,submucosa of ileum,http://purl.obolibrary.org/obo/UBERON_0004946,0.7207
ileoceocelic junction,ileocecal junction,http://purl.obolibrary.org/obo/UBERON_0001073,0.8533
ileocoecal region,ileocecal junction,http://purl.obolibrary.org/obo/UBERON_0001073,0.7404
ileum,ileum,http://purl.obolibrary.org/obo/UBERON_0002116,matched
ileum in mice,ileum,http://purl.obolibrary.org/obo/UBERON_0002116,0.6602
iliac,iliac ramus,http://purl.obolibrary.org/obo/UBERON_4200220,0.7856
ilieum,interneuron,http://purl.obolibrary.org/obo/CL_0000099,0.558
ilio-coelic junction,apical junction complex,http://purl.obolibrary.org/obo/GO_0043296,0.5629
illeo-caecal junction,ileocecal junction,http://purl.obolibrary.org/obo/UBERON_0001073,0.7437
illeum,endosteum,http://purl.obolibrary.org/obo/UBERON_0009859,0.5691
illeum nodule,nodular,http://purl.obolibrary.org/obo/PATO_0002125,0.5879
illiocaecal region,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.7401
illioceacal valve,ileocecal valve,http://purl.obolibrary.org/obo/UBERON_0000569,0.6851
imm on lf,anafront,http://purl.obolibrary.org/obo/ENVO_01001708,0.3749
imm on lt,immobile,http://purl.obolibrary.org/obo/PATO_0000300,0.4842
imm rt eye,camera-type eye,http://purl.obolibrary.org/obo/UBERON_0000019,0.6056
indeterminate,indeterminate nodule,http://purl.obolibrary.org/obo/PO_0004538,0.5646
in egg,egg apparatus,http://purl.obolibrary.org/obo/PO_0020096,0.68
inferior vena cava,inferior vena cava,http://purl.obolibrary.org/obo/UBERON_0001072,1
in flesh,fleshy,http://purl.obolibrary.org/obo/PATO_0002351,0.6288
infraorbital sinus,infraorbital sinus,http://purl.obolibrary.org/obo/UBERON_0011985,1
in knee joint-hind legs,knee joint,http://purl.obolibrary.org/obo/UBERON_0001485,0.8143
Inner bark,bark,http://purl.obolibrary.org/obo/PO_0004518,0.8084
inner,inner mental barbel,http://purl.obolibrary.org/obo/UBERON_2001969,0.6213
inner intestinal wall,wall of intestine,http://purl.obolibrary.org/obo/UBERON_0001262,0.8536
inner lining of gizzard,gizzard,http://purl.obolibrary.org/obo/UBERON_0005052,0.6019
inner operculum,parietal operculum,http://purl.obolibrary.org/obo/UBERON_0002911,0.7614
inner surface esophagus,upper esophagus,http://purl.obolibrary.org/obo/UBERON_0013472,0.8188
inner surface operculum,orbital operculum,http://purl.obolibrary.org/obo/UBERON_0002593,0.6141
inner wall of intestine,wall of intestine,http://purl.obolibrary.org/obo/UBERON_0001262,0.9258
innominate artery,intercostal artery,http://purl.obolibrary.org/obo/UBERON_0005612,0.7052
,,,
inside gonads,gonad,http://purl.obolibrary.org/obo/UBERON_0000991,0.7559
inside of skin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.712
inside posterior ribs,thoracic rib cage,http://purl.obolibrary.org/obo/UBERON_0003252,0.6615
inside rib,rib,http://purl.obolibrary.org/obo/UBERON_0002228,0.8299
integumental cyst,gland of integumental system,http://purl.obolibrary.org/obo/UBERON_0003297,0.5732
IntegumentarySystem,integumentary system layer,http://purl.obolibrary.org/obo/UBERON_0013754,0.7384
integument cysts,integument epidermis,http://purl.obolibrary.org/obo/PO_0006043,0.6186
integument,integument,http://purl.obolibrary.org/obo/UBERON_0002199,1
inter abdominally,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,0.6982
intercellular within muscles,muscle cell projection,http://purl.obolibrary.org/obo/GO_0036194,0.6967
interclavicular air sac,interclavicular air sac,http://purl.obolibrary.org/obo/UBERON_0009063,1
intercostal muscles,intercostal muscle,http://purl.obolibrary.org/obo/UBERON_0001111,0.9652
interdigital cyst,interdigital gland,http://purl.obolibrary.org/obo/UBERON_0016853,0.6568
intererythrocytic,interradialis,http://purl.obolibrary.org/obo/UBERON_2000528,0.6897
intermuscualr in axilary reg,intermuscular bone,http://purl.obolibrary.org/obo/UBERON_2000526,0.662
intermuscular cysts,intermuscular bone,http://purl.obolibrary.org/obo/UBERON_2000526,0.5809
intermuscular,intermuscular bone,http://purl.obolibrary.org/obo/UBERON_2000526,0.7739
internal organs,organ,http://purl.obolibrary.org/obo/UBERON_0000062,0.7207
interocular,interdigitated,http://purl.obolibrary.org/obo/PATO_0001960,0.654
interscapular region,interscapular region,http://purl.obolibrary.org/obo/UBERON_8480066,1
intesti,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7909
intestinal ant 1,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.6128
intestinal blood vessels,abdomen blood vessel,http://purl.obolibrary.org/obo/UBERON_0003497,0.7347
intestinal caeca,intestinal mucosa,http://purl.obolibrary.org/obo/UBERON_0001242,0.6727
intestinal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.8449
intestinal ceca,cecum mucosa,http://purl.obolibrary.org/obo/UBERON_0000314,0.6237
intestinal contents,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7328
intestinal cyst,intestinal epithelium,http://purl.obolibrary.org/obo/UBERON_0001277,0.666
intestinal cysts,intestinal epithelium,http://purl.obolibrary.org/obo/UBERON_0001277,0.6643
intestinal epitheilium,intestinal epithelium,http://purl.obolibrary.org/obo/UBERON_0001277,0.8117
intestinal epithelium,intestinal epithelium,http://purl.obolibrary.org/obo/UBERON_0001277,1
intestinal,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8478
intestinal junction,intestinal junction,http://purl.obolibrary.org/obo/UBERON_8410024,1
intestinal lesion,intestinal epithelium,http://purl.obolibrary.org/obo/UBERON_0001277,0.6434
intestinal lumen,lumen of gastrointestinal system,http://purl.obolibrary.org/obo/UBERON_0011565,0.8577
intestinal membrane,membrane,http://purl.obolibrary.org/obo/GO_0016020,0.7612
intestinal mesenteries,mesentery of small intestine,http://purl.obolibrary.org/obo/UBERON_0001170,0.818
intestinal mesentery,gastrointestinal system mesentery,http://purl.obolibrary.org/obo/UBERON_0004854,0.8381
intestinal mesentery vein,mesenteric vein,http://purl.obolibrary.org/obo/UBERON_0005617,0.8514
intestinal mucosa,intestinal mucosa,http://purl.obolibrary.org/obo/UBERON_0001242,1
intestinal mucos membrane,intestinal mucosa,http://purl.obolibrary.org/obo/UBERON_0001242,0.8029
intestinal muscle layer,muscle layer of intestine,http://purl.obolibrary.org/obo/UBERON_0012367,0.9212
intestinal nodule,root nodule,http://purl.obolibrary.org/obo/PO_0003023,0.6894
intestinal nodules,intestinal lymph node,http://purl.obolibrary.org/obo/UBERON_0037531,0.6693
intestinal vein,subintestinal vein,http://purl.obolibrary.org/obo/UBERON_0011944,0.9026
intestinal villae,intestinal enteroendocrine progenitor,http://purl.obolibrary.org/obo/CL_4052006,0.6753
intestinal villi,intestinal villus,http://purl.obolibrary.org/obo/UBERON_0001213,0.7787
intestinal wall cyst,intestinal epithelium,http://purl.obolibrary.org/obo/UBERON_0001277,0.6353
intestinal wall cysts,intestinal epithelium,http://purl.obolibrary.org/obo/UBERON_0001277,0.6368
intestinal wall (encysted),wall of intestine,http://purl.obolibrary.org/obo/UBERON_0001262,0.845
intestinal walls,wall of intestine,http://purl.obolibrary.org/obo/UBERON_0001262,0.8571
intestinal wall,wall of intestine,http://purl.obolibrary.org/obo/UBERON_0001262,0.8992
intestinal washings,intestinal mucosa,http://purl.obolibrary.org/obo/UBERON_0001242,0.6479
intestineal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.8115
intestineal lumen,lumen of intestine,http://purl.obolibrary.org/obo/UBERON_0018543,0.9441
intestineal serosa,serosa of intestine,http://purl.obolibrary.org/obo/UBERON_0001243,0.9603
intestineal wall cysts,wall of small intestine,http://purl.obolibrary.org/obo/UBERON_0001168,0.6596
intestine ant 1,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7447
intestine (ant),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8028
intestine ant to spiral valve,spiral valve of intestine,http://purl.obolibrary.org/obo/UBERON_0010016,0.8083
intestine (cecum),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7802
intestine-colon,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8536
intestine cyst,epithelium of small intestine,http://purl.obolibrary.org/obo/UBERON_0001902,0.6884
intestine (cyst),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7218
intestine cysts,epithelium of small intestine,http://purl.obolibrary.org/obo/UBERON_0001902,0.6893
intestine (cysts),epithelium of small intestine,http://purl.obolibrary.org/obo/UBERON_0001902,0.7005
intestine(discharged in feces),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7594
intestine (duodenum),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8356
intestine encysted,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8147
intestine (encysted),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8702
intestine- feces,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7855
intestine (feces),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8006
intestine (ileum & jejunum),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7941
intestine?,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.9586
intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,matched
intestine junction,intestinal junction,http://purl.obolibrary.org/obo/UBERON_8410024,0.9006
intestine (loosely attached),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8605
intestine (lumen),lumen of intestine,http://purl.obolibrary.org/obo/UBERON_0018543,0.9378
intestine (mid),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8805
intestine- mucosal coat,mucosa of small intestine,http://purl.obolibrary.org/obo/UBERON_0001204,0.7632
intestine near anus,wall of intestine,http://purl.obolibrary.org/obo/UBERON_0001262,0.7311
intestine near pyloric ceca,pyloric stomach,http://purl.obolibrary.org/obo/UBERON_0008246,0.656
intestine near pylorus,mucosa of pylorus,http://purl.obolibrary.org/obo/UBERON_0004998,0.6884
intestine (posterir third),intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8745
intestine serosa,serosa of intestine,http://purl.obolibrary.org/obo/UBERON_0001243,0.9655
intestine- serous coat,serosa of intestine,http://purl.obolibrary.org/obo/UBERON_0001243,0.6772
intestines,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.9506
intestine- testes,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7652
intestine (upper,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8741
intestine wall,wall of intestine,http://purl.obolibrary.org/obo/UBERON_0001262,0.9791
intest,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.869
intest. mesentery blood vessel,mesentery of small intestine,http://purl.obolibrary.org/obo/UBERON_0001170,0.7253
intestne,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.878
intetine,integument,http://purl.obolibrary.org/obo/UBERON_0002199,0.6817
int,integument,http://purl.obolibrary.org/obo/UBERON_0002199,0.5927
int mesenteries,mesenchyme,http://purl.obolibrary.org/obo/UBERON_0003104,0.6665
intradermal,subdermal,http://purl.obolibrary.org/obo/PATO_0002438,0.613
intra musccuar,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,0.5687
intramuscluar,interscutular muscle,http://purl.obolibrary.org/obo/UBERON_0010951,0.5785
intramuscular tiss,innermost intercostal muscle,http://purl.obolibrary.org/obo/UBERON_0008617,0.5842
intraperitoneal cysts,peritoneal cavity,http://purl.obolibrary.org/obo/UBERON_0001179,0.5466
intraperitoneal,peritoneal cavity,http://purl.obolibrary.org/obo/UBERON_0001179,0.687
intra-uterine,uterus,http://purl.obolibrary.org/obo/UBERON_0000995,0.7569
int. villi(cysts),villiform,http://purl.obolibrary.org/obo/PATO_0002022,0.5429
int wall,boundary wall,http://purl.obolibrary.org/obo/ENVO_01000466,0.6313
in vitro,tissue culture,http://purl.obolibrary.org/obo/ENVO_02000007,0.6679
in wash bag,tote bag,http://purl.obolibrary.org/obo/ENVO_03501293,0.4999
isthmus,isthmus,http://purl.obolibrary.org/obo/UBERON_4300180,1
isthmus region,isthmus,http://purl.obolibrary.org/obo/UBERON_4300180,0.7429
jejunum,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,matched
joint,skeletal joint,http://purl.obolibrary.org/obo/UBERON_0000982,0.8058
jugular vein- blood,jugular vein,http://purl.obolibrary.org/obo/UBERON_0004711,0.9232
jugular vein,jugular vein,http://purl.obolibrary.org/obo/UBERON_0004711,1
junction stomach & intestine,intestinal junction,http://purl.obolibrary.org/obo/UBERON_8410024,0.8766
just under skin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.5611
juv rt eye,right eye,http://purl.obolibrary.org/obo/UBERON_0004549,0.5827
kidney capusle,kidney capillary,http://purl.obolibrary.org/obo/UBERON_0003527,0.7366
kidney cysts,kidney epithelium,http://purl.obolibrary.org/obo/UBERON_0004819,0.6594
kidney duct,renal duct,http://purl.obolibrary.org/obo/UBERON_0006553,0.9673
kidney fat,renal fat pad,http://purl.obolibrary.org/obo/UBERON_0014464,0.7695
kidney fluid,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.7818
kidney granuloma,kidney granular cell,http://purl.obolibrary.org/obo/CL_0000648,0.8035
kidney +,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.8431
kidney?,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.8908
Kidney,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,1
kidney,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,matched
kidney mesenteries,kidney mesenchyme,http://purl.obolibrary.org/obo/UBERON_0003918,0.8867
kidney-proxmal tubules,kidney proximal convoluted tubule epithelial cell,http://purl.obolibrary.org/obo/CL_1000838,0.8072
kidney-renal plexus,renal nerve plexus,http://purl.obolibrary.org/obo/UBERON_0018676,0.8921
kidneys (encysted),kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.748
kidneys,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.8868
Kidney | Spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,0.8218
kidney tubules,renal tubule,http://purl.obolibrary.org/obo/UBERON_0009773,0.935
kidney-urinary tract,upper urinary tract,http://purl.obolibrary.org/obo/UBERON_0011143,0.8151
kidney vein,renal vein,http://purl.obolibrary.org/obo/UBERON_0001140,0.9656
kidney veins,renal vein,http://purl.obolibrary.org/obo/UBERON_0001140,matched
kidney wall,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.7788
kid.ovary encysted,ovary,http://purl.obolibrary.org/obo/UBERON_0000992,0.753
kid,young,http://purl.obolibrary.org/obo/PATO_0000309,0.5822
knee,knee,http://purl.obolibrary.org/obo/UBERON_0001465,1
koilin lining,konjac plant,http://purl.obolibrary.org/obo/FOODON_03412637,0.5514
koilon lining,lining cell,http://purl.obolibrary.org/obo/CL_0000213,0.5219
koilon of gizzard,gizzard,http://purl.obolibrary.org/obo/UBERON_0005052,0.6958
labellum,label,http://purl.obolibrary.org/obo/CHEBI_35209,0.7186
labium,labium majora,http://purl.obolibrary.org/obo/UBERON_0004085,0.8245
lacrimal ducts,wall of lacrimal duct,http://purl.obolibrary.org/obo/UBERON_0037237,0.8648
lacrimal duct,wall of lacrimal duct,http://purl.obolibrary.org/obo/UBERON_0037237,0.885
lacrimal gland ducts,lacrimal gland,http://purl.obolibrary.org/obo/UBERON_0001817,0.8384
la flor,lahar,http://purl.obolibrary.org/obo/ENVO_01000699,0.54
la hoja,Holostei,http://purl.obolibrary.org/obo/NCBITaxon_1489100,0.6361
lamina),lamina,http://purl.obolibrary.org/obo/UBERON_0000957,0.9033
la piel,calanque,http://purl.obolibrary.org/obo/ENVO_00000567,0.4776
la raíz,lahar,http://purl.obolibrary.org/obo/ENVO_01000699,0.4788
large arteries,artery,http://purl.obolibrary.org/obo/UBERON_0001637,0.7594
large branch,branch,http://purl.obolibrary.org/obo/PO_0025073,0.8174
large cysts,chalazal cyst,http://purl.obolibrary.org/obo/PO_0000201,0.6159
Large intestine,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,1
large intestine,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,matched
large int,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059,0.6227
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1
larynx,larynx,http://purl.obolibrary.org/obo/UBERON_0001737,1
la sangre,lahar,http://purl.obolibrary.org/obo/ENVO_01000699,0.5274
la savia,Sauria,http://purl.obolibrary.org/obo/NCBITaxon_32561,0.5625
la semilla,Latimeria,http://purl.obolibrary.org/obo/NCBITaxon_7896,0.5537
lateral ventricle,left lateral ventricle,http://purl.obolibrary.org/obo/UBERON_0013161,0.9291
latissimus dorsi muscle,latissimus dorsi muscle,http://purl.obolibrary.org/obo/UBERON_0001112,1
l@ base of left pectoral fin,pectoral fin base,http://purl.obolibrary.org/obo/UBERON_4300147,0.8113
leaf,leaf,http://purl.obolibrary.org/obo/PO_0025034,1
Leaf sap,plant sap,http://purl.obolibrary.org/obo/PO_0025538,0.9154
leaves,leaf,http://purl.obolibrary.org/obo/PO_0025034,0.8455
Leaves,leaf,http://purl.obolibrary.org/obo/PO_0025034,0.8455
left below pectoral fin,pectoral fin,http://purl.obolibrary.org/obo/UBERON_0000151,0.8586
left foreleg,left forelimb,http://purl.obolibrary.org/obo/UBERON_8300002,0.6425
left gill arches,pharyngeal arch derived gill,http://purl.obolibrary.org/obo/UBERON_0011150,0.7042
left gill chamber,gill opening,http://purl.obolibrary.org/obo/UBERON_2002057,0.6641
left gills,left lung,http://purl.obolibrary.org/obo/UBERON_0002168,0.6335
left,left,http://purl.obolibrary.org/obo/PATO_0000366,1
left leg,leg,http://purl.obolibrary.org/obo/UBERON_0000978,0.7462
left lung - diaphramatic lobe,left lung lobe,http://purl.obolibrary.org/obo/UBERON_0008951,0.9356
left mandible,mandible,http://purl.obolibrary.org/obo/UBERON_0001684,0.6952
left opercular cavity,opercular cavity,http://purl.obolibrary.org/obo/UBERON_2002154,matched
left parietal,left,http://purl.obolibrary.org/obo/PATO_0000366,0.7279
left pectoral fin,pectoral fin,http://purl.obolibrary.org/obo/UBERON_0000151,0.8695
left ribcage,lumbar rib,http://purl.obolibrary.org/obo/UBERON_0018145,0.7175
left & right opercular cavity,opercular cavity,http://purl.obolibrary.org/obo/UBERON_2002154,0.8441
left side gill,gill,http://purl.obolibrary.org/obo/UBERON_0002535,0.7335
left side near ant dorsal fin,anterior dorsal fin,http://purl.obolibrary.org/obo/UBERON_4200023,0.6459
left uterus (tumor),uterus,http://purl.obolibrary.org/obo/UBERON_0000995,0.6944
left ventricle,left lateral ventricle,http://purl.obolibrary.org/obo/UBERON_0013161,0.933
leg (calf) muscle,muscle of leg,http://purl.obolibrary.org/obo/UBERON_0001383,0.9019
leg connective tissue,leg connective tissue,http://purl.obolibrary.org/obo/UBERON_0003569,1
leg cyst,lower leg epithelium,http://purl.obolibrary.org/obo/UBERON_0005229,0.6678
leg,leg,http://purl.obolibrary.org/obo/UBERON_0000978,1
